,Unnamed: 0,שם המבצע,מטרת המבצע,Start Date,End Date
0,11,מבצע חשיפה מלאה,"מבצע של שייטת 13 ושייטת ספינות הטילים של חיל הים, במסגרתו נתפסה אוניית המשא קלוס סי, שניסתה להבריח מאיראן אמצעי לחימה שחלקם הוטסו ככל הנראה מסוריה ויועדו לארגוני הטרור הפלסטיניים בסיני או ברצועת עזה.",2014-03-05,2014-03-05
1,12,מבצע שובו אחים,"מבצע רחב היקף של צה""ל וכוחות הביטחון לחיפוש שלושת הנערים החטופים ובנוסף על מנת לפגוע בתשתיות חמאס ברחבי יהודה ושומרון.",2014-06-12,2014-06-12
2,13,מבצע צוק איתן,"מבצע רחב היקף של צה""ל, שהחל בעקבות ירי רקטי הולך וגובר מרצועת עזה לעבר אוכלוסייה אזרחית בדרום ישראל, כתגובה ל""מבצע שובו אחים"" של צה""ל לאחר חטיפת שלושת הנערים ורציחתם ב-12 ביוני.",2014-07-08,2014-07-08
3,14,מבצע בית הקלפים,סדרת תקיפות אוויריות של צהל על בסיסי משמרות המהפכה האסלאמית בסוריה.,2018-05-08,2018-05-08
4,15,מבצע מגן צפוני,"מבצע הנדסי של צה""ל בגבול לבנון לחיסול המנהור ההתקפי של החזבאללה.",2018-10-04,2018-10-04
5,16,מבצע גן סגור,"תקיפות נרחבות של חיל האוויר ברצועת עזה לאור ירי רקטות לעבר ישובי עוטף עזה, לכיש, באר שבע ודרום השפלה וירי צלפים לעבר חיילי צה""ל.",2019-05-03,2019-05-03
6,17,מבצע חגורה שחורה,הריגת בכיר הג'יהאד האסלאמי הפלסטיני בהאא אבו אל-עטא ותקיפות נרחבות של חיל האוויר ברצועת עזה לאור ירי רקטות מתגבר לעבר ישובי הדרום והמרכז.,2019-11-12,2019-11-12
7,18,מבצע שומר החומות,"מבצע רחב היקף של צה""ל, שהחל בעקבות ירי רקטות מאסיבי לעבר ירושלים ועוטף עזה, והפרות סדר בירושלים ברמדאן.",2021-05-10,2021-05-10
8,19,מבצע שובר גלים,"מבצע צבאי של צה""ל שהחל לאחר גל פיגועים קטלניים שביצעו מחבלים פלסטינים ומחבלים ערבים המתגוררים בישראל בשטחי מדינת ישראל.",2022-03-31,2022-03-31
9,20,מבצע עלות השחר,"מבצע של צה""ל שבמהלכו תקף חיל האוויר הישראלי שורת מטרות המזוהות עם הג'יהאד האסלאמי הפלסטיני. במבצע נהרגו תייסיר אל-ג'עברי, מפקד מרחב צפון בזרוע הצבאית של הג'יהאד האסלאמי הפלסטיני, וח'אלד מנצור, מפקד מרחב הדרום בזרוע הצבאית של הג'יהאד האסלאמי הפלסטיני.",2022-08-05,2022-08-05
10,21,מבצע ענפי זית,"מבצע של צה""ל ומנגנוני ביטחון רבים, שבמהלכו נשלחה משלחת סיוע של פיקוד העורף, לסייע הומניטרית ולחלץ אזרחים מטורקיה וסוריה ממבנים שהתמוטטו, בשל רעידות אדמה שהתרחשו באזור.",2023-02-06,2023-02-06
11,22,מבצע מגן וחץ,"מבצע של צה""ל שבו הרג חיל האוויר הישראלי שישה מפקדים בכירים של הג'יהאד האסלאמי הפלסטיני.",2023-05-09,2023-05-09
12,23,מבצע בית וגן,"מבצע צבאי של צה""ל ושירות הביטחון הכללי במחנה הפליטים ג'נין נגד הג'יהאד האיסלאמי הפלסטיני וארגוני טרור אחרים.",2023-07-03,2023-07-03
13,24,מלחמת חרבות ברזל,מתקפת פתע נרחבת של טרור פלסטיני מרצועת עזה על ישראל.,2023-10-07,2023-10-07
